Tipo de dato;Agregados macroeconómicos: Nivel 1;Agregados macroeconómicos: Nivel 2;Niveles y tasas;Periodo;Total
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2007T1;-3,7494
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2006T4;8,6902
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2006T3;-3,5842
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2006T2;6,6723
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2006T1;-3,0909
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2005T4;8,4918
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2005T3;-3,5657
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2005T2;7,0227
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2005T1;-3,694
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2004T4;8,3845
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2004T3;-3,0868
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2004T2;6,5877
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2004T1;-3,9385
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2003T4;7,9541
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2003T3;-3,104
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2003T2;6,2632
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2003T1;-3,84
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2002T4;8,1732
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2002T3;-3,3212
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2002T2;6,8204
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2002T1;-4,4423
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2001T4;8,1643
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2001T3;-2,571
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2001T2;6,0274
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2001T1;-3,3005
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2000T4;8,3376
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2000T3;-2,4326
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2000T2;6,0062
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2000T1;-3,2494
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;1999T4;8,9074
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;1999T3;-2,6388
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;1999T2;6,3166
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;1999T1;-5,4261
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;1998T4;9,2587
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;1998T3;-2,5958
